Trade Date,Ticker,Company,Insider Name,Title,Trade Type,Price,Shares,Owned,Value
2025-05-08,2025-05-06,ADI,Stata Ray,Dir,S - Sale,196.86,6250,829167,1230365.0
2025-05-08,2025-05-06,ACT,McMullen James,Controller,S - Sale,36.45,4000,2132,145780.0
2025-05-08,2025-05-06,SLGN,Prinzen B Frederik,SVP - Corp. Dev.,S - Sale,54.05,2378,1380,128531.0
2025-05-08,2025-05-08,SEZL,Paradis Paul,"Dir, Pres",S - Sale,75.0,18000,1398648,1350000.0
2025-05-08,2025-05-06,MTDR,Ehrman Monika U,Dir,P - Purchase,40.31,300,36867,12093.0
2025-05-08,2025-05-06,APLE,Knight Glade M,Exec COB,P - Purchase,11.43,10000,10806233,114300.0
2025-05-08,2025-05-07,THG,Salvatore Bryan J,EVP,S - Sale+OE,166.6,10526,25864,1753605.0
2025-05-08,2025-05-06,SM,Vogel Herbert S,"Pres, CEO",P - Purchase,21.32,1000,488101,21320.0
2025-05-08,2025-05-06,APLE,Hugh Redd,Dir,P - Purchase,11.37,1000,136254,11370.0
2025-05-08,2025-05-06,APLE,Woolley Howard E.,Dir,P - Purchase,11.35,2000,24248,22690.0
2025-05-08,2025-05-06,MTDR,Baty Robert Gaines,Dir,P - Purchase,40.63,500,68817,20315.0
2025-05-08,2025-05-07,ETN,Marshall Ernest W Jr,See Remarks below.,S - Sale+OE,300.05,16650,36021,4995799.0
2025-05-08,2025-05-06,NEO,Zook Anthony P.,CEO,P - Purchase,7.88,18900,30236,148919.0
2025-05-08,2025-05-07,ALK,Von Muehlen Constance E,"EVP, COO",S - Sale+OE,50.16,33,20964,1655.0
2025-05-08,2025-05-06,EBAY,Spencer Rebecca,"VP, Chief Accounting Officer",S - Sale,69.95,2000,7468,139900.0
2025-05-08,2025-05-06,STT,Schaefer Elizabeth,"SVP, Chief Accounting Officer",S - Sale,90.72,1300,7354,117936.0
2025-05-08,2025-05-08,PATH,Dines Daniel,"CEO, COB, 10%",S - Sale,12.16,45000,31791961,547286.0
2025-05-08,2025-05-07,REYN,Stangl Rolf,Dir,P - Purchase,22.75,2500,21889,56875.0
2025-05-08,2025-05-07,UTZ,Werzyn William Jr.,Dir,P - Purchase,11.81,8000,22970,94472.0
2025-05-08,2025-05-07,RNR,Fraser James Christopher,"SVP, Chief Accounting Officer",S - Sale,250.52,14000,13486,3507299.0
2025-05-08,2025-05-06,EFX,Gamble John W Jr,"EVP, CFO, COO",S - Sale,259.1,2000,65176,518200.0
2025-05-08,2025-05-06,KLAC,Wallace Richard P,"Pres, CEO",S - Sale,683.3,10802,77935,7381007.0
2025-05-08,2025-05-07,TCBI,Stallings Robert W,Dir,P - Purchase,20.0,300,745300,6000.0
2025-05-08,2025-05-07,PTC,Von Staats Aaron C,"EVP, GC, Secretary",S - Sale,160.0,1988,17731,318080.0
2025-05-08,2025-05-06,CCO,Wells Scott,CEO,P - Purchase,1.08,50000,3432205,54000.0
2025-05-08,2025-05-07,VIAV,Belluzzo Richard,Dir,S - Sale,8.92,8385,259081,74794.0
2025-05-08,2025-05-06,AAON,Fields Gary D,CEO,S - Sale+OE,97.23,74412,41494,7235304.0
2025-05-08,2025-05-06,UTGN,First Southern Funding LLC,10%,P - Purchase,40.0,86957,1688833,3478280.0
2025-05-08,2025-05-08,TFSL,Asher Anthony J,Dir,S - Sale+OE,13.4,59507,100,797394.0
2025-05-08,2025-05-06,TFSL,Weil Meredith S,CFO,S - Sale+OE,13.48,15000,79409,202200.0
2025-05-08,2025-05-06,AAON,Fields Gary D,CEO,S - Sale+OE,97.23,74412,26491,7235304.0
2025-05-08,2025-05-07,DAIO,Smith Edward J,Dir,P - Purchase,2.46,5000,42815,12300.0
2025-05-08,2025-05-01,DAIO,Wentworth William O.,Pres,P - Purchase,2.36,10585,35085,24981.0
2025-05-08,2025-05-06,HNVR,Golden Robert,Dir,S - Sale,23.04,1708,432688,39360.0
2025-05-08,2025-05-07,CLMB,Foster Dale Richard,CEO,S - Sale,102.41,10000,77451,1024143.0
2025-05-08,2025-05-06,UTGN,Correll Jesse T,"COB, CEO, 10%",P - Purchase,40.0,86957,2048054,3478280.0
2025-05-08,2025-05-07,CFFN,Jackson Rick C,EVP,P - Purchase,5.69,15000,230107,85350.0
2025-05-08,2025-05-07,TPL,Stahl Murray,Dir,P - Purchase,1325.41,10,1165961,13254.0
2025-05-08,2025-05-07,TCBS,Sherrill Johnny,Dir,P - Purchase,15.63,600,53857,9375.0
2025-05-08,2025-05-07,CBRL,Gmt Capital Corp,10%,P - Purchase,44.6,53000,2833700,2363800.0
2025-05-08,2025-05-06,IPI,Jornayvaz Robert P III,10%,S - Sale,37.66,59701,1101149,2248340.0
2025-05-08,2025-05-06,CMS,Hofmeister Brandon J.,SVP,S - Sale,73.61,2198,69572,161790.0
2025-05-08,2025-05-07,RCG,Stahl Murray,"Pres, CEO, 10%",P - Purchase,2.66,1276,814010,3394.0
2025-05-08,2025-05-07,LII,Kosel Chris,"VP-Corp Controller, CAO",S - Sale,568.06,509,1582,289140.0
2025-05-08,2025-05-07,KO,Murphy John,"Pres, CFO",S - Sale+OE,72.09,88658,316330,6391710.0
2025-05-08,2025-05-06,PSMT,Velasco Francisco,"EVP, GC, Secretary",S - Sale,99.74,550,78991,54857.0
2025-05-08,2025-05-05,GUG,Nyberg Ronald,Trustee,P - Purchase,15.15,1305,2105,19775.0
2025-05-08,2025-05-07,RVP,Shaw Thomas J,"Pres, CEO, 10%",P - Purchase,0.74,400,16084854,296.0
2025-05-08,2025-05-06,RGR,Lowney Timothy,VP of Operations,P - Purchase,33.37,2200,8874,73414.0
2025-05-08,2025-05-07,INGR,Fernandes Larry,"SVP, Chief Comm, Sust Officer",S - Sale,135.82,2400,31996,325975.0
2025-05-08,2025-05-07,CHCO,Strong-Treister Diane W,Dir,P - Purchase,116.72,120,5147,14006.0
2025-05-08,2025-05-07,CHCO,Reyes Javier A,Dir,P - Purchase,116.72,116,1617,13540.0
2025-05-08,2025-05-07,CHCO,Fisher Robert D,Dir,P - Purchase,116.72,163,45509,19025.0
2025-05-08,2025-05-07,CHCO,File W H III,Dir,P - Purchase,116.72,144,27942,16808.0
2025-05-08,2025-05-06,ECF,"Saba Capital Management, L.P.",10%,P - Purchase,9.19,17576,1626365,161523.0
2025-05-08,2025-05-07,HQL,"Saba Capital Management, L.P.",10%,S - Sale,12.19,1366,3066706,16652.0
2025-05-08,2025-05-06,BCAT,"Saba Capital Management, L.P.",10%,S - Sale,14.72,149202,11147136,2196253.0
2025-05-08,2025-05-06,SW,Finan Irial,Dir,P - Purchase,39.21,15180,54893,595182.0
2025-05-08,2025-05-06,MPA,"Saba Capital Management, L.P.",10%,S - Sale,11.04,39294,1620926,433806.0
2025-05-08,2025-05-07,MIO,"Saba Capital Management, L.P.",10%,P - Purchase,11.58,1090,2161352,12622.0
2025-05-08,2025-05-06,RGR,Widman Phillip,Dir,P - Purchase,33.58,4000,31757,134320.0
2025-05-08,2025-05-06,CHCO,Hoyer James A,Dir,P - Purchase,116.0,19,252,2204.0
2025-05-08,2025-05-06,RGR,Froman Sandra S,Dir,P - Purchase,33.61,1000,14498,33610.0
